Poster,Pre-Comment,Comment,Label
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,Quá đỉnh,1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,Xuất sắc luôn,1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,"đẹp đấy, cơ mà bác có làm riêng quả đầu eren bị chém đứt không 😗 lul",1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.","['đẹp đấy, cơ mà bác có làm riêng quả đầu eren bị chém đứt không 😗 lul', 'Huy Trym To bác định cho ai hôn à :v']",Huy Trym To bác định cho ai hôn à :v,1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.","['đẹp đấy, cơ mà bác có làm riêng quả đầu eren bị chém đứt không 😗 lul', 'Huy Trym To bác định cho ai hôn à :v']",Nam Damgiang à nếu có thì rủ mấy th bạn ném qua ném lại chơi 🐧,1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,cjcj,0
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,đỉnh :)),1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,Bao nhiêu tiền đấy ạ,1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.",,Cá nhân e thì e thấy tạo hình eren thuỷ tổ ko đẹp ( tạo hình của tác giả nhé ). Các titan khác ngầu lòi mà titan thuỷ tổ của eren trông cứ thế nào,1
"Trần DuyJ2TEAM Community
11 tháng 3 lúc 05:57 ·
#J2team_relax
Mười mấy ngày ròng rã cùng anh em nghệ nhân chế tác bộ xương của thủy tổ Eren :))
Nhìn thì đơn giản, mà lúc làm thì mới thấy cũng khó nhằn và không đơn giản, mượt mà như trong clip Timlapse mình ghi lại quá trình chế tác.
Clip có mười phút thôi nên là mình cắt hết mấy cảnh vò đầu bứt tóc ròi hehehe.
Anh em muốn nghía qua clip thì vào kênh : “Nghệ Nhân Âu Lạc” xem cho vui nha.
Còn pót này hi vọng được thấy cánh tay của anh em fan Attack on Titan trong group ạ.","['Cá nhân e thì e thấy tạo hình eren thuỷ tổ ko đẹp ( tạo hình của tác giả nhé ). Các titan khác ngầu lòi mà titan thuỷ tổ của eren trông cứ thế nào', 'Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc', 'Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc', 'Đào Trọng Khang nhìn bệnh quá đúng chất quái vậy dark nữa', 'Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc', 'Đào Trọng Khang nhìn bệnh quá đúng chất quái vậy dark nữa', 'Đào Trọng Khang me too, cứ tưởng trùm cuối sẽ ngầu lắm, ai ngờ 🤣', 'Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc', 'Đào Trọng Khang nhìn bệnh quá đúng chất quái vậy dark nữa', 'Đào Trọng Khang me too, cứ tưởng trùm cuối sẽ ngầu lắm, ai ngờ 🤣', 'Đào Trọng Khang Thông cảm đi bác, pay đầu mà hoá được thành thủy tổ là tốt rồi ấy =))))', 'Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc', 'Đào Trọng Khang nhìn bệnh quá đúng chất quái vậy dark nữa', 'Đào Trọng Khang me too, cứ tưởng trùm cuối sẽ ngầu lắm, ai ngờ 🤣', 'Đào Trọng Khang Thông cảm đi bác, pay đầu mà hoá được thành thủy tổ là tốt rồi ấy =))))', 'Đào Trọng Khang do nó có mỗi đầu với xương sống thui bác =))))))', 'Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc', 'Đào Trọng Khang nhìn bệnh quá đúng chất quái vậy dark nữa', 'Đào Trọng Khang me too, cứ tưởng trùm cuối sẽ ngầu lắm, ai ngờ 🤣', 'Đào Trọng Khang Thông cảm đi bác, pay đầu mà hoá được thành thủy tổ là tốt rồi ấy =))))', 'Đào Trọng Khang do nó có mỗi đầu với xương sống thui bác =))))))', 'Đào Trọng Khang Chắc sợ thủy tổ zin khó sơi quá nên nerf cho có điểm yếu đấy:)']","Đào Trọng Khang vì eren bị đứt đầu đó bro, hàng chắp nối lsao bằng hàng zin đc",1
