Poster,Pre-Comment,Comment,Label
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,Có vid uav nga quay đc cảnh đám neo nazi đang cản dân đi sơ tán rồi,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,Cheer!!,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,"Cũng có lý của ukr thôi, không có người dân thì nga đánh nhẹ cái là ngất",0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·","['Cũng có lý của ukr thôi, không có người dân thì nga đánh nhẹ cái là ngất']",Trần Văn Sơn chủ yếu Nga nó nhân đạo với dân. Chứ nó ác thì lùa hết cả.,0
