Poster,Pre-Comment,Comment,Label
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share",,"Còn bản phác thảo về gương mặt người yêu của em đâu ạ :'(
Để em còn nhận diện vớiiiiiii :(",1
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","[""Còn bản phác thảo về gương mặt người yêu của em đâu ạ :'(\nĐể em còn nhận diện vớiiiiiii :("", ""Phúc Gớt nước mắt :'("", ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Vũ Tất Thành Quá đáng lắm luôn :'(""]",Phúc Gớt nước mắt :'(,0
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","[""Còn bản phác thảo về gương mặt người yêu của em đâu ạ :'(\nĐể em còn nhận diện vớiiiiiii :("", ""Phúc Gớt nước mắt :'("", ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Vũ Tất Thành Quá đáng lắm luôn :'(""]",Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :)),0
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","[""Còn bản phác thảo về gương mặt người yêu của em đâu ạ :'(\nĐể em còn nhận diện vớiiiiiii :("", ""Phúc Gớt nước mắt :'("", ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Vũ Tất Thành Quá đáng lắm luôn :'(""]",Vũ Tất Thành Quá đáng lắm luôn :'(,0
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","[""Còn bản phác thảo về gương mặt người yêu của em đâu ạ :'(\nĐể em còn nhận diện vớiiiiiii :("", ""Phúc Gớt nước mắt :'("", ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Phúc Gớt nước mắt :'("", 'Justin Nguyễn mk phục chế có màu cho bạn rồi nhé khỏi cảm ơn :))', ""Vũ Tất Thành Quá đáng lắm luôn :'(""]",Justin Nguyễn hình phác thảo này đủ sắc nét rồi nhé 😂,1
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share",,Cho ae nào muốn xem quá trình vẽ https://youtu.be/cWdydXUkzSY,1
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","['Cho ae nào muốn xem quá trình vẽ https://youtu.be/cWdydXUkzSY', 'Hà Đức Moé, hoàn hảo đến chiếc video time lapse cũng tròn 5 phút :))))']","Hà Đức Moé, hoàn hảo đến chiếc video time lapse cũng tròn 5 phút :))))",0
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","['Cho ae nào muốn xem quá trình vẽ https://youtu.be/cWdydXUkzSY', 'Hà Đức Moé, hoàn hảo đến chiếc video time lapse cũng tròn 5 phút :))))']",Hà Đức máy in lazed :v,0
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share",,Đây cũng k phải 1 bức ảnh mà là 1 bức tranh,1
"Justin NguyễnJ2TEAM Community
Hôm qua lúc 05:38 ·
ĐÂY KHÔNG PHẢI LÀ MỘT BỨC ẢNH!!!
Đây là bản phác thảo cầu thủ bóng rổ Michael Jordan bằng bút chì của Keegan Hall. Người họa sĩ này đã mất 250 giờ để hoàn thiện bản phác thảo này.
Keegan Hall là một họa sĩ nổi tiếng trên Instagram. Anh đã từng chia sẻ đoạn video vẽ phác thảo cầu thủ bóng rổ Michael Jordan của mình trên mạng xã hội. Tất cả những gì mà anh sử dụng để tạo ra tác phẩm nghệ thuật tuyệt vời này là một tờ giấy trắng và một chiếc bút chì.
Bản vẽ của anh giống hệt như một bức ảnh đen trắng được chụp bằng máy ảnh. Từng chi tiết trong bức vẽ của anh có độ chính xác cao, khiến nhiều người bất ngờ trước tài năng vẽ có một không hai này.
#j2team_share","['Đây cũng k phải 1 bức ảnh mà là 1 bức tranh', 'Đây cũng chỉ là 1 bức tranh', 'Đây cũng chỉ là 1 bức tranh', 'Trang Thu Đây là bức ảnh chụp 1 bức tranh nhé 😂']",Đây cũng chỉ là 1 bức tranh,1
